2044	EPHA5	EPH receptor A5 [Source:HGNC Symbol;Acc:HGNC:3389]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA		MANNO_MIDBRAIN_NEUROTYPES_HDA1		MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA	GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION	ZHONG_PFC_C3_MICROGLIA	GOBP_NEUROGENESIS				GOBP_NEURON_DEVELOPMENT		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_CELL_PROJECTION_ORGANIZATION	GOBP_HEAD_DEVELOPMENT	
9066	SYT7	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA		MANNO_MIDBRAIN_NEUROTYPES_HDA1		MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA		GOCC_NEURON_PROJECTION					GOCC_SYNAPSE		MANNO_MIDBRAIN_NEUROTYPES_HRN		MANNO_MIDBRAIN_NEUROTYPES_HNBML1			
5362	PLXNA2	plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA			MANNO_MIDBRAIN_NEUROTYPES_HNBML5			GOBP_GENERATION_OF_NEURONS			GOBP_NEUROGENESIS				GOBP_NEURON_DEVELOPMENT		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_CELL_PROJECTION_ORGANIZATION	GOBP_HEAD_DEVELOPMENT	
124925	SEZ6	seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA						GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION		GOBP_NEUROGENESIS			GOCC_SYNAPSE	GOBP_NEURON_DEVELOPMENT		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_CELL_PROJECTION_ORGANIZATION	GOBP_HEAD_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HSERT
8707	B3GALT2	beta-1,3-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:917]		MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5								BLALOCK_ALZHEIMERS_DISEASE_DN			MANNO_MIDBRAIN_NEUROTYPES_HRN					
2555	GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2 [Source:HGNC Symbol;Acc:HGNC:4076]		MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1		MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA		GOCC_NEURON_PROJECTION				BLALOCK_ALZHEIMERS_DISEASE_DN	GOCC_SYNAPSE							
57451	TENM2	teneurin transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:29943]		MANNO_MIDBRAIN_NEUROTYPES_HGABA		MANNO_MIDBRAIN_NEUROTYPES_HNBML5			GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION	ZHONG_PFC_C3_MICROGLIA	GOBP_NEUROGENESIS			GOCC_SYNAPSE	GOBP_NEURON_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HRN			GOBP_CELL_PROJECTION_ORGANIZATION		MANNO_MIDBRAIN_NEUROTYPES_HSERT
4784	NFIX	nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]		MANNO_MIDBRAIN_NEUROTYPES_HGABA				MANNO_MIDBRAIN_NEUROTYPES_HDA			ZHONG_PFC_C3_MICROGLIA		ZHONG_PFC_C3_ASTROCYTE									
23284	ADGRL3	adhesion G protein-coupled receptor L3 [Source:HGNC Symbol;Acc:HGNC:20974]		MANNO_MIDBRAIN_NEUROTYPES_HGABA					GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION		GOBP_NEUROGENESIS		BLALOCK_ALZHEIMERS_DISEASE_DN	GOCC_SYNAPSE			GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT			GOBP_HEAD_DEVELOPMENT	
8543	LMO4	LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]			MANNO_MIDBRAIN_NEUROTYPES_HDA1		MANNO_MIDBRAIN_NEUROTYPES_HDA2		GOBP_GENERATION_OF_NEURONS		ZHONG_PFC_C3_MICROGLIA	GOBP_NEUROGENESIS		BLALOCK_ALZHEIMERS_DISEASE_DN		GOBP_NEURON_DEVELOPMENT		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_CELL_PROJECTION_ORGANIZATION		
81831	NETO2	neuropilin and tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:14644]			MANNO_MIDBRAIN_NEUROTYPES_HDA1		MANNO_MIDBRAIN_NEUROTYPES_HDA2				ZHONG_PFC_C3_MICROGLIA			BLALOCK_ALZHEIMERS_DISEASE_DN	GOCC_SYNAPSE							
347252	IGFBPL1	insulin like growth factor binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:20081]				MANNO_MIDBRAIN_NEUROTYPES_HNBML5																
7846	TUBA1A	tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]					MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA	GOBP_GENERATION_OF_NEURONS		ZHONG_PFC_C3_MICROGLIA	GOBP_NEUROGENESIS			GOCC_SYNAPSE	GOBP_NEURON_DEVELOPMENT		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HNBML1	GOBP_CELL_PROJECTION_ORGANIZATION	GOBP_HEAD_DEVELOPMENT	
8829	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]							GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION		GOBP_NEUROGENESIS			GOCC_SYNAPSE	GOBP_NEURON_DEVELOPMENT		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_CELL_PROJECTION_ORGANIZATION	GOBP_HEAD_DEVELOPMENT	
23769	FLRT1	fibronectin leucine rich transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3760]							GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION		GOBP_NEUROGENESIS				GOBP_NEURON_DEVELOPMENT				GOBP_CELL_PROJECTION_ORGANIZATION		
23314	SATB2	SATB homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21637]							GOBP_GENERATION_OF_NEURONS		ZHONG_PFC_C3_MICROGLIA	GOBP_NEUROGENESIS	ZHONG_PFC_C3_ASTROCYTE									
4208	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]							GOBP_GENERATION_OF_NEURONS			GOBP_NEUROGENESIS	ZHONG_PFC_C3_ASTROCYTE	BLALOCK_ALZHEIMERS_DISEASE_DN	GOCC_SYNAPSE	GOBP_NEURON_DEVELOPMENT				GOBP_CELL_PROJECTION_ORGANIZATION		
5789	PTPRD	protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]							GOBP_GENERATION_OF_NEURONS			GOBP_NEUROGENESIS			GOCC_SYNAPSE	GOBP_NEURON_DEVELOPMENT				GOBP_CELL_PROJECTION_ORGANIZATION		
54806	AHI1	Abelson helper integration site 1 [Source:HGNC Symbol;Acc:HGNC:21575]							GOBP_GENERATION_OF_NEURONS			GOBP_NEUROGENESIS				GOBP_NEURON_DEVELOPMENT		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_CELL_PROJECTION_ORGANIZATION	GOBP_HEAD_DEVELOPMENT	
3398	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]							GOBP_GENERATION_OF_NEURONS			GOBP_NEUROGENESIS						GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT			GOBP_HEAD_DEVELOPMENT	
23266	ADGRL2	adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]								GOCC_NEURON_PROJECTION				BLALOCK_ALZHEIMERS_DISEASE_DN				GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT			GOBP_HEAD_DEVELOPMENT	
2904	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B [Source:HGNC Symbol;Acc:HGNC:4586]								GOCC_NEURON_PROJECTION					GOCC_SYNAPSE			GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_CELL_PROJECTION_ORGANIZATION	GOBP_HEAD_DEVELOPMENT	
157627	MIR124-1HG	MIR124-1 host gene [Source:HGNC Symbol;Acc:HGNC:27231]									ZHONG_PFC_C3_MICROGLIA		ZHONG_PFC_C3_ASTROCYTE									
9168	TMSB10	thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]												BLALOCK_ALZHEIMERS_DISEASE_DN								
