53919	SLCO1C1	solute carrier organic anion transporter family member 1C1 [Source:HGNC Symbol;Acc:HGNC:13819]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES				ZHONG_PFC_C9_ORG_OTHER								HAY_BONE_MARROW_STROMAL							
2199	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES					MANNO_MIDBRAIN_NEUROTYPES_HRGL2C										GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE		GOBP_CELL_ADHESION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
10991	SLC38A3	solute carrier family 38 member 3 [Source:HGNC Symbol;Acc:HGNC:18044]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES																			
4851	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]		MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B		MANNO_MIDBRAIN_NEUROTYPES_HRGL2C		MANNO_MIDBRAIN_NEUROTYPES_HRGL1				MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL			GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION				GOBP_CELL_ADHESION	
143282	FGFBP3	fibroblast growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:23428]		MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B		MANNO_MIDBRAIN_NEUROTYPES_HRGL2C				MANNO_MIDBRAIN_NEUROTYPES_HOPC						GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE			
3491	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]		MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B			MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1				MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	HAY_BONE_MARROW_STROMAL		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE		GOBP_CELL_ADHESION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
6422	SFRP1	secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]		MANNO_MIDBRAIN_NEUROTYPES_HRGL2A										MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	HAY_BONE_MARROW_STROMAL		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE		GOBP_CELL_ADHESION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
27164	SALL3	spalt like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10527]				MANNO_MIDBRAIN_NEUROTYPES_HRGL2B						MANNO_MIDBRAIN_NEUROTYPES_HOPC										
6678	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]					ZHONG_PFC_C9_ORG_OTHER		MANNO_MIDBRAIN_NEUROTYPES_HRGL3		LEIN_ASTROCYTE_MARKERS			MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL		ZHONG_PFC_MAJOR_TYPES_OPC	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA		HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1280	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]						MANNO_MIDBRAIN_NEUROTYPES_HRGL2C				MANNO_MIDBRAIN_NEUROTYPES_HOPC						GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE			
3488	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]							MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1				MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	HAY_BONE_MARROW_STROMAL		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION					
84059	ADGRV1	adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416]							MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1											GOBP_CELL_ADHESION	
11167	FSTL1	follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]							MANNO_MIDBRAIN_NEUROTYPES_HRGL3					MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	HAY_BONE_MARROW_STROMAL							HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
5212	VIT	vitrin [Source:HGNC Symbol;Acc:HGNC:12697]								MANNO_MIDBRAIN_NEUROTYPES_HRGL1								GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE		GOBP_CELL_ADHESION	
84466	MEGF10	multiple EGF like domains 10 [Source:HGNC Symbol;Acc:HGNC:29634]													HAY_BONE_MARROW_STROMAL		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION				GOBP_CELL_ADHESION	
84417	ECRG4	ECRG4 augurin precursor [Source:HGNC Symbol;Acc:HGNC:24642]													HAY_BONE_MARROW_STROMAL		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION					
5806	PTX3	pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]													HAY_BONE_MARROW_STROMAL				GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE			HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
7042	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]															GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE		GOBP_CELL_ADHESION	
10924	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]																				
