2199	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES						MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HPROGBP												HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
10991	SLC38A3	solute carrier family 38 member 3 [Source:HGNC Symbol;Acc:HGNC:18044]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES																			
4192	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]		FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL						MANNO_MIDBRAIN_NEUROTYPES_HPROGBP		MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM			ZHONG_PFC_MAJOR_TYPES_NPCS	MANNO_MIDBRAIN_NEUROTYPES_HPROGM		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		HAY_BONE_MARROW_STROMAL	
3491	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]			MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL3		MANNO_MIDBRAIN_NEUROTYPES_HPROGBP	MANNO_MIDBRAIN_NEUROTYPES_HRGL1	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM		MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL		MANNO_MIDBRAIN_NEUROTYPES_HPROGM		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		HAY_BONE_MARROW_STROMAL	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
4851	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]			MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A			MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HPROGBP	MANNO_MIDBRAIN_NEUROTYPES_HRGL1				MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	ZHONG_PFC_MAJOR_TYPES_NPCS			GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			
4288	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]			MANNO_MIDBRAIN_NEUROTYPES_HRGL2B					MANNO_MIDBRAIN_NEUROTYPES_HPROGBP		MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM			ZHONG_PFC_MAJOR_TYPES_NPCS						
1062	CENPE	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]			MANNO_MIDBRAIN_NEUROTYPES_HRGL2B					MANNO_MIDBRAIN_NEUROTYPES_HPROGBP		MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM				MANNO_MIDBRAIN_NEUROTYPES_HPROGM					
27164	SALL3	spalt like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10527]			MANNO_MIDBRAIN_NEUROTYPES_HRGL2B									MANNO_MIDBRAIN_NEUROTYPES_HOPC								
6678	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]					ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL3							MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL			DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	LEIN_ASTROCYTE_MARKERS		HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
3488	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]						MANNO_MIDBRAIN_NEUROTYPES_HRGL3			MANNO_MIDBRAIN_NEUROTYPES_HRGL1				MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL				GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		HAY_BONE_MARROW_STROMAL	
84059	ADGRV1	adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416]						MANNO_MIDBRAIN_NEUROTYPES_HRGL3			MANNO_MIDBRAIN_NEUROTYPES_HRGL1						MANNO_MIDBRAIN_NEUROTYPES_HPROGM					
11167	FSTL1	follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]						MANNO_MIDBRAIN_NEUROTYPES_HRGL3							MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL						HAY_BONE_MARROW_STROMAL	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1280	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]							MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HPROGBP		MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM	MANNO_MIDBRAIN_NEUROTYPES_HOPC			MANNO_MIDBRAIN_NEUROTYPES_HPROGM					
1063	CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]							MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HPROGBP		MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM			ZHONG_PFC_MAJOR_TYPES_NPCS	MANNO_MIDBRAIN_NEUROTYPES_HPROGM					
5212	VIT	vitrin [Source:HGNC Symbol;Acc:HGNC:12697]								MANNO_MIDBRAIN_NEUROTYPES_HPROGBP	MANNO_MIDBRAIN_NEUROTYPES_HRGL1	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL										
3148	HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]								MANNO_MIDBRAIN_NEUROTYPES_HPROGBP		MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM			ZHONG_PFC_MAJOR_TYPES_NPCS	MANNO_MIDBRAIN_NEUROTYPES_HPROGM		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			
7153	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]								MANNO_MIDBRAIN_NEUROTYPES_HPROGBP		MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM			ZHONG_PFC_MAJOR_TYPES_NPCS	MANNO_MIDBRAIN_NEUROTYPES_HPROGM					
5806	PTX3	pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]								MANNO_MIDBRAIN_NEUROTYPES_HPROGBP		MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM				MANNO_MIDBRAIN_NEUROTYPES_HPROGM				HAY_BONE_MARROW_STROMAL	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
57082	KNL1	kinetochore scaffold 1 [Source:HGNC Symbol;Acc:HGNC:24054]								MANNO_MIDBRAIN_NEUROTYPES_HPROGBP		MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM									
894	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]												MANNO_MIDBRAIN_NEUROTYPES_HOPC					GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			
84417	ECRG4	ECRG4 augurin precursor [Source:HGNC Symbol;Acc:HGNC:24642]																	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		HAY_BONE_MARROW_STROMAL	
